Institution,Courses,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
"Academy of Maritime Education and Training, Chennai ",22,6,2,2,10,1872.0,73.0,80.0,2025,1464.0,41.0,61.0,1566,0.0,0.0,1.0,0.0,69.0,9.0,600.0,7.0,,,,,,,,,670,16,686
"Acharya Nagarjuna University, Guntur ",132,5,1,1,7,1020.0,204.0,32.0,1256,1530.0,306.0,39.0,1875,192.0,92.0,103.0,75.0,3350.0,3007.0,12135.0,11846.0,0.0,0.0,15.0,42.0,0.0,13.0,12.0,9.0,15807,15084,30891
"Acharya NG Ranga Agricultural University, Hyderabad ",11,23,23,0,46,1456.0,1231.0,,2687,1961.0,1955.0,,3916,26.0,28.0,,,32.0,50.0,345.0,298.0,,,,,,,,,403,376,779
"Adikavi Nannaya University, Rajahmundry, East Godawari ",20,1,0,0,1,80.0,,,80,63.0,,,63,0.0,0.0,,,48.0,44.0,,,,,,,,,0.0,0.0,48,44,92
Ahmedabad University ,6,1,2,0,3,160.0,368.0,,528,45.0,121.0,,166,,,,,187.0,71.0,377.0,377.0,,,,,,,,,564,448,1012
"AIIMS, Ansari Nagar New Delhi ",125,14,4,1,19,1119.0,296.0,352.0,1767,1119.0,296.0,352.0,1767,56.0,25.0,,,150.0,52.0,38.0,92.0,,,,,,,,,244,169,413
AISECT UNIVERSITY ,42,2,0,0,2,160.0,,,160,157.0,,,157,0.0,0.0,0.0,0.0,11.0,2.0,66.0,10.0,0.0,0.0,0.0,0.0,,,,,77,12,89
"Alagappa University, Alagappa Nagar, Karaikudi ",135,2,3,0,5,428.0,320.0,,748,390.0,286.0,,676,88.0,44.0,65.0,119.0,10044.0,7614.0,7915.0,11059.0,6.0,3.0,0.0,0.0,0.0,168.0,0.0,0.0,18118,19007,37125
"Aliah University, Kolkata ",29,2,1,0,3,192.0,45.0,,237,192.0,45.0,,237,,,,,116.0,46.0,210.0,17.0,,,,,865.0,234.0,4.0,4.0,1195,301,1496
"Aligarh Muslim University, Aligarh ",313,13,5,0,18,7334.0,2811.0,,10145,7597.0,2946.0,,10543,1087.0,0.0,49.0,0.0,1777.0,0.0,4715.0,0.0,398.0,0.0,735.0,0.0,94.0,0.0,,,8855,0,8855
Alliance University. Bangalore ,2,2,2,0,4,606.0,430.0,,1036,606.0,430.0,,1036,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Amity University, Gautam Budh Nagar ",201,11,8,0,19,2417.0,3257.0,,5674,2223.0,2965.0,,5188,0.0,0.0,13.0,13.0,2577.0,1388.0,3141.0,1537.0,5.0,13.0,2.0,12.0,,,106.0,57.0,5844,3020,8864
"Amity University Haryana, Gurgaon ",39,2,1,0,3,864.0,432.0,,1296,400.0,160.0,,560,,,,,137.0,165.0,396.0,179.0,2.0,0.0,,,,,,,535,344,879
"Amrita Vishwa Vidyapeetham, Coimbatore ",192,6,2,0,8,4019.0,1682.0,,5701,3103.0,1506.0,,4609,7.0,4.0,,,521.0,695.0,1596.0,1454.0,3.0,9.0,0.0,0.0,,,1.0,9.0,2128,2171,4299
"Andhra University, Visakhapatnam ",257,20,3,1,24,3672.0,1573.0,236.0,5481,4030.0,1993.0,236.0,6259,192.0,77.0,26.0,21.0,7472.0,7328.0,6216.0,8860.0,30.0,18.0,24.0,18.0,39.0,36.0,0.0,0.0,13999,16358,30357
"Annamalai University, Annamalainagar ",725,15,4,0,19,7816.0,4734.0,,12550,7267.0,4181.0,,11448,226.0,92.0,71.0,67.0,18114.0,22042.0,27531.0,25507.0,1035.0,417.0,566.0,417.0,607.0,1035.0,0.0,0.0,48150,49577,97727
"Anna University, Chennai ",123,20,11,6,37,2184.0,1604.0,152.0,3940,3426.0,2042.0,149.0,5617,,,15.0,16.0,1090.0,1018.0,1127.0,767.0,,,,,,,,,2232,1801,4033
"Anna University, Coimbatore ",132,1,1,0,2,450.0,400.0,,850,134.0,129.0,,263,4.0,3.0,,,8530.0,5486.0,22677.0,14233.0,344.0,57.0,,,,,0.0,0.0,31555,19779,51334
"Anna University of Technology, Madurai ",9,0,1,0,1,,75.0,,75,,60.0,,60,109.0,0.0,,,1292.0,769.0,5505.0,3664.0,,,,,,,,,6906,4433,11339
"Anna University of Technology, Tirunelveli ",9,1,1,0,2,280.0,100.0,,380,275.0,90.0,,365,0.0,0.0,,,1404.0,1198.0,8634.0,5325.0,,,,,,,16.0,0.0,10054,6523,16577
"Anna University, Tiruchirapalli ",21,2,2,0,4,668.0,1096.0,,1764,668.0,1096.0,,1764,,,,,1541.0,1230.0,9548.0,4713.0,,,,,,,,,11089,5943,17032
"Apeejay Stya University, Sohna ",22,1,1,0,2,271.0,214.0,,485,11.0,5.0,,16,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0,0,0
"A.P. Horticulture University Venkannagudem, T.P. Gudem, West Godawari ",4,4,4,1,9,500.0,430.0,250.0,1180,540.0,557.0,250.0,1347,0.0,0.0,,,17.0,16.0,107.0,105.0,,,60.0,61.0,,,,,184,182,366
"A.P. University of Law, Vishakhapatnam ",3,1,1,1,3,60.0,40.0,20.0,120,60.0,40.0,20.0,120,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0,0,0
"Arni University, Katgarh , Kangra ",28,3,1,0,4,587.0,192.0,,779,357.0,119.0,,476,,,0.0,0.0,104.0,81.0,0.0,0.0,,,0.0,0.0,,,,,104,81,185
"Assam Agricultural University, Jorhat ",39,4,7,0,11,270.0,579.0,,849,270.0,579.0,,849,5.0,12.0,,,42.0,52.0,130.0,134.0,,,,,,,,,177,198,375
"Assam Doon Bosco University, Guwahati ",20,3,2,0,5,340.0,240.0,,580,240.0,210.0,,450,0.0,0.0,,,23.0,11.0,0.0,0.0,0.0,0.0,,,,,,,23,11,34
"Assam University, Silchar ",31,4,3,0,7,314.0,275.0,,589,314.0,275.0,,589,,,,,410.0,353.0,891.0,1121.0,,,,,1.0,2.0,33.0,33.0,1335,1509,2844
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior ",6,3,1,0,4,880.0,237.0,,1117,622.0,152.0,,774,5.0,2.0,,,100.0,22.0,,,,,,,,,69.0,9.0,174,33,207
"Awadesh Pratap Singh University, Rewa ",46,1,1,0,2,100.0,100.0,,200,200.0,200.0,,400,49.0,19.0,496.0,198.0,2479.0,3202.0,17182.0,17044.0,46.0,19.0,169.0,100.0,37.0,13.0,0.0,0.0,20458,20595,41053
"Azim Premji University, Bangalore ",2,1,1,0,2,54.0,42.0,,96,45.0,23.0,,68,,,,,0.0,0.0,,,,,,,,,,,0,0,0
"Baba Ghulam Shah Badshah University, Jammu ",25,5,4,0,9,583.0,245.0,,828,547.0,212.0,,759,0.0,0.0,0.0,0.0,84.0,28.0,39.0,5.0,,,,,,,,,123,33,156
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur ",23,6,4,0,10,555.0,255.0,,810,204.0,335.0,,539,,,,,1946.0,798.0,29743.0,19322.0,,,,,1307.0,408.0,,,32996,20528,53524
"Babasheb Bhimrao Ambedkar University, Lucknow ",42,2,1,0,3,317.0,382.0,,699,232.0,247.0,,479,23.0,10.0,,,206.0,108.0,,,,,,,,,,,229,118,347
"Babu Banarsi Das University, Lucknow ",40,3,4,0,7,933.0,1096.0,,2029,933.0,1084.0,,2017,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Baddi University of Emerging Sciences and Technology, Budha , Solan ",15,2,1,1,4,1200.0,500.0,120.0,1820,1118.0,400.0,117.0,1635,,,,,102.0,28.0,303.0,121.0,,,,,,,,,405,149,554
"Bahra University, Solan ",9,1,1,0,2,192.0,72.0,,264,161.0,63.0,,224,0.0,0.0,,,10.0,5.0,0.0,0.0,,,,,,,,,10,5,15
"Banaras Hindu University, Banaras ",293,41,25,1,67,5342.0,1606.0,0.0,6948,10233.0,3838.0,0.0,14071,258.0,169.0,,,1681.0,1302.0,2753.0,3135.0,0.0,0.0,0.0,42.0,0.0,49.0,,,4692,4697,9389
Banasthali Vidyapith ,59,0,27,0,27,,7868.0,,7868,,7840.0,,7840,55.0,296.0,0.0,44.0,0.0,4348.0,0.0,4369.0,0.0,17.0,,,,,,,55,9074,9129
"Bangalore University, Bangalore ",114,8,4,0,12,1756.0,730.0,,2486,1488.0,723.0,,2211,77.0,40.0,,,6893.0,6019.0,30934.0,39357.0,19.0,51.0,40.0,182.0,93.0,469.0,3.0,2.0,38059,46120,84179
"Barkatullah University, Bhopal ",47,3,2,0,5,356.0,210.0,,566,356.0,210.0,,566,39.0,46.0,0.0,14.0,5355.0,5451.0,22186.0,25802.0,256.0,255.0,131.0,292.0,2.0,1.0,10.0,8.0,27979,31869,59848
"Berhampur University, Berhampur ",43,6,4,0,10,482.0,292.0,,774,364.0,284.0,,648,,,53.0,49.0,750.0,522.0,2523.0,2039.0,6.0,2.0,,,,,,,3332,2612,5944
"Bhagat Phool Singh Mahila University, Khanpur Kalan, Sonipat ",26,0,15,0,15,,1596.0,,1596,,2929.0,,2929,0.0,3.0,,,0.0,147.0,0.0,831.0,,,0.0,54.0,0.0,49.0,0.0,96.0,0,1180,1180
"Bhagwant University, Ajmer ",49,1,1,0,2,300.0,50.0,,350,298.0,47.0,,345,,,,,67.0,7.0,150.0,50.0,,,0.0,0.0,,,,,217,57,274
"Bharathiar University, Coimbatore ",170,4,4,1,9,619.0,602.0,45.0,1266,868.0,1020.0,8.0,1896,237.0,206.0,1743.0,552.0,5744.0,8955.0,15245.0,24638.0,85.0,177.0,14.0,38.0,0.0,80.0,0.0,0.0,23068,34646,57714
"Bharathidasan University, Tiruchirappalli ",55,4,4,0,8,1300.0,1040.0,,2340,1250.0,985.0,,2235,181.0,81.0,1058.0,1901.0,4607.0,8624.0,12755.0,29585.0,139.0,261.0,190.0,393.0,110.0,150.0,7.0,3.0,19047,40998,60045
"Bharat Ratana Dr. B. R. Ambedkar University, Dwarka ",22,1,1,0,2,24.0,24.0,,48,23.0,21.0,,44,0.0,0.0,0.0,0.0,22.0,54.0,0.0,0.0,,,,,,,,,22,54,76
"Bhatkhande Music Institute, Lucknow ",33,1,1,1,3,10.0,53.0,4.0,67,6.0,67.0,1.0,74,0.0,0.0,,,22.0,48.0,14.0,17.0,,,227.0,309.0,,,,,263,374,637
"Bhupendra Narayan Mandal University, Madhepura ",28,0,1,0,1,,40.0,,40,,0.0,,0,255.0,100.0,,,485.0,359.0,16688.0,8179.0,2.0,2.0,,,,,0.0,0.0,17430,8640,26070
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia ",9,6,2,0,8,1142.0,278.0,,1420,682.0,370.0,,1052,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Birla Institute of Technology, Ranchi ",56,12,3,0,15,2594.0,926.0,,3520,2539.0,922.0,,3461,,,,,346.0,105.0,484.0,111.0,0.0,0.0,,,0.0,0.0,,,830,216,1046
"Birsa Agricultural University, Ranchi ",15,10,6,0,16,694.0,361.0,,1055,339.0,282.0,,621,7.0,0.0,,,34.0,0.0,45.0,14.0,,,6.0,2.0,0.0,0.0,,,92,16,108
"B.L.D.E. University, Bijapur ",4,3,2,2,7,391.0,330.0,96.0,817,360.0,284.0,78.0,722,0.0,0.0,,,12.0,9.0,0.0,0.0,12.0,13.0,,,,,,,24,22,46
"Bundelkhand University, Jhansi ",83,3,4,0,7,302.0,552.0,,854,302.0,552.0,,854,1.0,1.0,144.0,94.0,2896.0,2871.0,46546.0,45399.0,,,35.0,63.0,,,100.0,66.0,49722,48494,98216
"Burdwan University, Burdwan ",43,6,5,0,11,892.0,832.0,,1724,892.0,832.0,,1724,0.0,0.0,,,5853.0,7068.0,32686.0,31261.0,64.0,36.0,40.0,17.0,0.0,0.0,79.0,118.0,38722,38500,77222
"Calcutta University, Kolkata ",269,9,7,0,16,805.0,471.0,,1276,796.0,465.0,,1261,0.0,0.0,40.0,0.0,3712.0,687.0,34916.0,26979.0,136.0,0.0,93.0,52.0,264.0,203.0,75.0,35.0,39236,27956,67192
"Calicut University, Thenhipalem, Malapuram ",69,5,3,2,10,288.0,1244.0,48.0,1580,281.0,1240.0,48.0,1569,17.0,18.0,7.0,63.0,924.0,3515.0,8301.0,18917.0,6.0,41.0,0.0,71.0,49.0,348.0,7.0,11.0,9311,22984,32295
"Central Institute of Fisheries Education, Fishries University, Mumbai ",24,1,1,1,3,89.0,60.0,140.0,289,89.0,60.0,140.0,289,18.0,5.0,,,52.0,3.0,,,,,,,,,,,70,8,78
"Central Institute of Higher Tibetan Studies, Varanasi ",11,1,1,2,4,120.0,50.0,75.0,245,125.0,50.0,15.0,190,2.0,0.0,4.0,0.0,52.0,28.0,235.0,112.0,,,,,,,,,293,140,433
"Central Univeristy of Gujarat, Gandhinagar ",19,2,2,0,4,59.0,63.0,,122,56.0,61.0,,117,,,,,6.0,5.0,,,,,,,,,20.0,14.0,26,19,45
"Central Univeristy of Kerala, Trivandrum ",16,2,2,0,4,91.0,125.0,,216,75.0,93.0,,168,0.0,0.0,,,7.0,10.0,,,,,,,,,,,7,10,17
"Central University of Bihar, Patna ",9,1,1,0,2,25.0,14.0,,39,19.0,14.0,,33,,,,,19.0,6.0,,,,,,,,,,,19,6,25
"Central University of Himachal Pradesh, Dharmshala, Kangra ",30,1,1,0,2,100.0,45.0,,145,52.0,25.0,,77,0.0,0.0,,,68.0,47.0,,,,,,,,,,,68,47,115
"Central University of Jharkhand, Ranchi ",10,1,1,0,2,800.0,350.0,,1150,434.0,325.0,,759,,,,,,,,,,,,,,,0.0,0.0,0,0,0
"Central University of Karnataka, Gulbarga ",16,1,1,0,2,59.0,23.0,,82,59.0,23.0,,82,0.0,0.0,0.0,0.0,61.0,26.0,0.0,0.0,,,,,,,,,61,26,87
"Central University of Kashmir, Srinagar ",7,2,1,0,3,60.0,20.0,,80,60.0,20.0,,80,,,,,119.0,33.0,,,,,,,,,0.0,0.0,119,33,152
"Central University of Orissa, Koraput ",8,1,1,0,2,70.0,50.0,,120,70.0,50.0,,120,,,,,58.0,68.0,,,,,,,,,0.0,0.0,58,68,126
"Central University of Punjab, Bathhinda ",10,1,1,0,2,46.0,36.0,,82,32.0,36.0,,68,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0,0,0
"Central University of Rajasthan, Jaipur ",14,1,1,0,2,168.0,420.0,,588,108.0,286.0,,394,,,,,6.0,11.0,,,,,,,,,,,6,11,17
"Central University of Tamil Nadu, Tiruvarur ",8,1,1,0,2,100.0,100.0,,200,51.0,50.0,,101,,,,,5.0,3.0,,,,,,,,,0.0,0.0,5,3,8
"Centre for Environmental Planning and Technology University, Ahmedabad ",25,2,3,0,5,90.0,65.0,,155,90.0,65.0,,155,,,,,163.0,158.0,44.0,42.0,,,,,,,,,207,200,407
Centurion University of Technology and Management ,12,5,2,0,7,278.0,97.0,,375,978.0,324.0,,1302,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Chankaya National Law University, Patna ",3,1,1,0,2,316.0,316.0,,632,235.0,221.0,,456,0.0,0.0,,,0.0,0.0,,,,,,,,,56.0,24.0,56,24,80
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur ",56,1,4,0,5,200.0,233.0,,433,400.0,466.0,,866,370.0,454.0,93.0,70.0,12818.0,21910.0,205925.0,201199.0,41.0,28.0,53.0,35.0,131.0,98.0,0.0,0.0,219431,223794,443225
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur ",53,4,5,1,10,266.0,297.0,13.0,576,237.0,393.0,9.0,639,4.0,6.0,,,43.0,59.0,43.0,88.0,,,,,,,,,90,153,243
"Ch. Devi Lal University, Sirsa ",64,2,2,0,4,320.0,440.0,,760,327.0,497.0,,824,0.0,0.0,40.0,40.0,414.0,765.0,3321.0,7882.0,,,245.0,441.0,146.0,39.0,7.0,0.0,4173,9167,13340
"Chennai Mathematical Institue, Chennai ",8,0,0,1,1,,,168.0,168,,,168.0,168,2.0,0.0,,,19.0,6.0,5.0,0.0,,,,,,,,,26,6,32
"Chitkara University, Kalu Jhanda , Solan ",7,4,4,0,8,781.0,484.0,,1265,744.0,457.0,,1201,0.0,0.0,,,86.0,72.0,33.0,10.0,,,,,,,,,119,82,201
"Chitkara University, Patiala ",29,1,1,0,2,500.0,300.0,,800,450.0,290.0,,740,0.0,0.0,,,107.0,0.0,587.0,97.0,,,,,,,,,694,97,791
"Choudhary Charan Singh University, Meerut ",36,6,2,0,8,1085.0,468.0,,1553,1085.0,468.0,,1553,150.0,192.0,0.0,0.0,3398.0,5784.0,28570.0,32190.0,,,65.0,239.0,0.0,0.0,102.0,88.0,32285,38493,70778
"Christ University, Bangalore ",111,1,1,0,2,905.0,380.0,,1285,649.0,380.0,,1029,0.0,0.0,30.0,63.0,602.0,608.0,775.0,887.0,36.0,14.0,,,,,0.0,0.0,1443,1572,3015
Dakshina Bharat Hindi Prachar Sabha ,6,0,1,0,1,,40.0,,40,,0.0,,0,4.0,6.0,30.0,31.0,20.0,29.0,,,20.0,29.0,,,,,,,74,95,169
"Datta Meghe Institute of Medical Sciences, Nagpur ",55,6,9,3,18,758.0,1759.0,270.0,2787,592.0,1612.0,248.0,2452,,,,,51.0,68.0,108.0,276.0,8.0,12.0,,,,,,,167,356,523
"Davangere University, Davangere ",18,2,2,0,4,388.0,400.0,,788,292.0,347.0,,639,,,,,906.0,821.0,6876.0,7185.0,,,0.0,0.0,0.0,0.0,,,7782,8006,15788
"Dayalbagh Educational Institute, Agra ",97,2,2,0,4,234.0,230.0,,464,234.0,230.0,,464,6.0,32.0,14.0,93.0,66.0,268.0,271.0,690.0,53.0,97.0,8.0,0.0,532.0,536.0,0.0,0.0,950,1716,2666
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur ",48,4,2,0,6,583.0,524.0,,1107,629.0,455.0,,1084,3.0,5.0,,,1631.0,4819.0,10212.0,11440.0,3.0,0.0,173.0,296.0,225.0,130.0,,,12247,16690,28937
"Defence Institute of Advanced Technology, Girinagar, Pune ",13,1,1,0,2,272.0,128.0,,400,220.0,60.0,,280,,,,,93.0,9.0,,,,,,,,,,,93,9,102
Delhi Technological University ,47,8,5,0,13,1284.0,334.0,,1618,1281.0,332.0,,1613,0.0,0.0,,,65.0,17.0,427.0,46.0,,,,,,,,,492,63,555
"Devi Ahilya Vishwavidyalaya, Indore ",71,7,4,0,11,1078.0,731.0,,1809,1078.0,731.0,,1809,7.0,8.0,46.0,8.0,5714.0,4129.0,21122.0,22811.0,225.0,179.0,135.0,160.0,32.0,10.0,,,27281,27305,54586
"Dev Sanskrit Vishwavidyalaya Gayatrikunj, Haridwar ",20,2,2,1,5,576.0,560.0,32.0,1168,314.0,482.0,9.0,805,7.0,9.0,,,41.0,83.0,42.0,81.0,134.0,202.0,0.0,0.0,,,,,224,375,599
"Dharmsinh Desai univeristy, Nadiad ",32,1,1,0,2,650.0,90.0,,740,650.0,90.0,,740,4.0,1.0,,,220.0,37.0,1043.0,172.0,,,32.0,0.0,,,,,1299,210,1509
"Dibrugarh University, Dibrugarh ",68,5,4,1,10,558.0,525.0,153.0,1236,558.0,525.0,153.0,1236,45.0,28.0,4.0,1.0,448.0,619.0,5206.0,7581.0,86.0,170.0,49.0,55.0,92.0,171.0,23.0,28.0,5953,8653,14606
"Doon University, Dehradun ",10,1,1,0,2,207.0,241.0,,448,167.0,203.0,,370,,,,,23.0,39.0,,,,,,,,,0.0,0.0,23,39,62
"Dravidian University, Kuppam, Chittoor District ",100,2,2,0,4,252.0,244.0,,496,252.0,172.0,,424,7.0,0.0,4.0,1.0,2215.0,649.0,265.0,82.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2491,732,3223
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad ",87,6,4,0,10,460.0,350.0,,810,460.0,350.0,,810,0.0,0.0,197.0,65.0,4272.0,2388.0,19327.0,9488.0,156.0,71.0,43.0,14.0,94.0,50.0,,,24089,12076,36165
"Dr. Babasaheb Ambedkar Technological University, Lonere ",15,2,3,0,5,480.0,600.0,,1080,380.0,540.0,,920,,,,,79.0,40.0,294.0,128.0,,,,,,,,,373,168,541
"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth, Ratnagiri ",50,8,3,0,11,525.0,408.0,,933,560.0,398.0,,958,15.0,3.0,,,60.0,25.0,429.0,158.0,,,,,,,,,504,186,690
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar ",34,7,3,0,10,1273.0,357.0,,1630,1957.0,494.0,,2451,0.0,0.0,,,6.0,10.0,387.0,99.0,,,,,,,,,393,109,502
"Dr. B. R. Ambedkar University, Agra ",87,0,2,0,2,,68.0,,68,,55.0,,55,30.0,20.0,60.0,80.0,3394.0,3999.0,44228.0,40069.0,78.0,41.0,27.0,50.0,87.0,36.0,467.0,89.0,48371,44384,92755
"Dr.B.R.Ambedkar University, Etcherla ",16,1,1,0,2,500.0,200.0,,700,315.0,184.0,,499,,,,,638.0,349.0,4290.0,4000.0,,,,,,,12.0,7.0,4940,4356,9296
"Dr. C. V. Raman University, Kota Bilaspur ",43,2,0,0,2,160.0,,,160,160.0,,,160,,,73.0,168.0,62.0,38.0,261.0,91.0,34.0,16.0,34.0,19.0,,,,,464,332,796
"Dr. Harisingh Gaur Vishwavidyalaya, Sagar ",92,4,2,0,6,930.0,400.0,,1330,399.0,386.0,,785,33.0,111.0,0.0,0.0,2274.0,3210.0,22218.0,27248.0,215.0,157.0,247.0,151.0,0.0,28.0,16.0,9.0,25003,30914,55917
"Dr K N Modi University, Tonk ",7,2,1,0,3,500.0,100.0,,600,257.0,42.0,,299,,,,,16.0,4.0,130.0,30.0,,,22.0,3.0,,,,,168,37,205
"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola ",31,7,3,0,10,584.0,408.0,,992,584.0,408.0,,992,15.0,0.0,,,316.0,0.0,977.0,0.0,,,,,0.0,0.0,,,1308,0,1308
"Dr. Ram Manohar Lohia Awadh University, Faizabad ",16,3,1,0,4,350.0,150.0,,500,350.0,150.0,,500,0.0,0.0,,,2900.0,2080.0,5343.0,5052.0,16.0,28.0,,,,,,,8259,7160,15419
"Dr. Ram Manohar Lohiya National Law University, Lucknow ",2,2,1,0,3,960.0,480.0,,1440,432.0,330.0,,762,,,,,9.0,2.0,,,,,,,,,40.0,32.0,49,34,83
"D.Y. Patil Educational Society , Kolhapur ",7,3,2,0,5,230.0,222.0,,452,203.0,206.0,,409,,,,,50.0,14.0,143.0,83.0,8.0,4.0,,,,,,,201,101,302
"Eastern Institute for Integrated Learning in Management University, Jorethang ",10,1,1,0,2,15.0,78.0,,93,15.0,78.0,,93,,,,,14.0,3.0,14.0,28.0,,,,,,,,,28,31,59
